gene,reaction,num
YBR153W,['rxn915'],1
YDL055C,"['rxn7821', 'rxn6479']",2
YDL141W,"['rxn29850', 'rxn32960', 'rxn32964', 'rxn32968', 'rxn33004', 'rxn33032', 'rxn40172', 'rxn40180', 'rxn9474', 'rxn6569', 'rxn64']",11
YDR454C,['rxn6479'],1
YER003C,"['rxn29111', 'rxn29112', 'rxn29113', 'rxn22804', 'rxn17414', 'rxn18092', 'rxn18093', 'rxn40817', 'rxn16084', 'rxn16087', 'rxn11946', 'rxn7821', 'rxn11070', 'rxn6479', 'rxn3491', 'rxn1509', 'rxn1510', 'rxn1511', 'rxn1512', 'rxn1513', 'rxn1514', 'rxn1516', 'rxn1517', 'rxn1518', 'rxn1519', 'rxn1520', 'rxn1525', 'rxn1526', 'rxn1528', 'rxn1529', 'rxn1530', 'rxn1531', 'rxn2617', 'rxn140']",34
YER023W,"['rxn17965', 'rxn65070']",2
YER043C,"['rxn6325', 'rxn6335', 'rxn6340', 'rxn7071', 'rxn4359', 'rxn4360', 'rxn79', 'rxn80', 'rxn83']",9
YFL045C,"['rxn7821', 'rxn6479']",2
YGL055W,"['rxn42478', 'rxn13878', 'rxn54520', 'rxn58553', 'rxn58555', 'rxn58624', 'rxn58669', 'rxn58671', 'rxn11546', 'rxn11548', 'rxn11550', 'rxn11553', 'rxn11555', 'rxn11557', 'rxn9482', 'rxn9721', 'rxn9722', 'rxn6523', 'rxn6526', 'rxn5005', 'rxn5007', 'rxn5009', 'rxn5083', 'rxn5121', 'rxn5123', 'rxn5125', 'rxn5127', 'rxn5286', 'rxn5287', 'rxn5308', 'rxn5311', 'rxn5312', 'rxn5313', 'rxn5448', 'rxn4164', 'rxn2506', 'rxn2508', 'rxn2595', 'rxn2598', 'rxn2767', 'rxn700']",41
YGR267C,['rxn37271'],1
YHR074W,"['rxn14790', 'rxn58412', 'rxn58414', 'rxn58416', 'rxn58418']",5
YIL083C,"['rxn19212', 'rxn40705', 'rxn10206', 'rxn4641', 'rxn66', 'rxn1275']",6
YKL024C,['rxn60958'],1
YKL088W,"['rxn44254', 'rxn4641']",2
YNR016C,"['rxn29850', 'rxn32960', 'rxn32964', 'rxn32968', 'rxn33004', 'rxn33032', 'rxn40172', 'rxn40180', 'rxn9474', 'rxn6569', 'rxn64']",11
YOL066C,['rxn915'],1
YOR074C,"['rxn23128', 'rxn70411', 'rxn10515']",3
YOR095C,"['rxn29082', 'rxn19043', 'rxn33836', 'rxn33837', 'rxn33003', 'rxn33004', 'rxn33006', 'rxn35430', 'rxn38131', 'rxn44378', 'rxn51141', 'rxn55763', 'rxn65796', 'rxn12071', 'rxn12075', 'rxn12080', 'rxn12081', 'rxn8914', 'rxn8915', 'rxn7328', 'rxn10550', 'rxn5870', 'rxn6333', 'rxn7139', 'rxn4840', 'rxn4050', 'rxn4051', 'rxn4064', 'rxn4065', 'rxn4090', 'rxn4091', 'rxn4116', 'rxn4117', 'rxn4459', 'rxn4462', 'rxn1464', 'rxn1485', 'rxn1512', 'rxn1565', 'rxn1566', 'rxn1597', 'rxn1763', 'rxn1908', 'rxn1910', 'rxn1911', 'rxn1912', 'rxn2021', 'rxn64', 'rxn235', 'rxn236', 'rxn1181', 'rxn1187', 'rxn1241', 'rxn1247', 'rxn1248']",55
YOR236W,['rxn29543'],1
YPR035W,"['rxn17765', 'rxn14113', 'rxn14123', 'rxn14133', 'rxn14138', 'rxn16322', 'rxn16325', 'rxn16350', 'rxn16353', 'rxn16680', 'rxn16685', 'rxn45259', 'rxn31478', 'rxn50334', 'rxn68132', 'rxn12075', 'rxn12076', 'rxn9362', 'rxn9941', 'rxn70537', 'rxn7430', 'rxn7067', 'rxn7068', 'rxn7224', 'rxn4874', 'rxn5484', 'rxn3387', 'rxn3551', 'rxn1670', 'rxn1673', 'rxn1907', 'rxn1908', 'rxn547', 'rxn678', 'rxn907']",35
